ts,lat,lon
1759010636699,34.021752,-118.282944
1759010682750,34.021752,-118.282944
1759010697741,34.021752,-118.282944
1759010712735,34.021752,-118.282944
1759010727750,34.021752,-118.282944
1759010742741,34.021752,-118.282944
1759010757749,34.021752,-118.282944
1759010772736,34.021752,-118.282944
1759010787740,34.021752,-118.282944
1759010802746,34.021752,-118.282944
1759010817747,34.021752,-118.282944
1759010832745,34.021752,-118.282944
1759010847747,34.021752,-118.282944
1759010862745,34.021752,-118.282944
1759010877738,34.021752,-118.282944
1759010892745,34.021752,-118.282944
1759010907738,34.021752,-118.282944
1759010922740,34.021752,-118.282944
1759010937738,34.021752,-118.282944
1759010952744,34.021752,-118.282944
1759010967738,34.021752,-118.282944
1759010982734,34.021752,-118.282944
1759010997736,34.021752,-118.282944
1759011012731,34.021752,-118.282944
1759011027736,34.021752,-118.282944
1759011042735,34.021752,-118.282944
1759011057737,34.021752,-118.282944
1759011072736,34.021752,-118.282944
1759011087726,34.021752,-118.282944
1759011102743,34.021752,-118.282944
1759011117743,34.021752,-118.282944
1759011132742,34.021752,-118.282944
1759011147736,34.021752,-118.282944
1759011162738,34.021752,-118.282944
1759011177743,34.021752,-118.282944
1759011192733,34.021752,-118.282944
1759011207742,34.021752,-118.282944
1759011222742,34.021752,-118.282944
1759011237735,34.021752,-118.282944
1759011252742,34.021752,-118.282944
1759011267743,34.021752,-118.282944
1759011282734,34.021752,-118.282944
1759011297733,34.021752,-118.282944
1759011312734,34.021752,-118.282944
1759011327734,34.021752,-118.282944
1759011342734,34.021752,-118.282944
1759011357728,34.021752,-118.282944
1759011372732,34.021752,-118.282944
1759011387729,34.021752,-118.282944
1759011402732,34.021752,-118.282944
1759011417730,34.021752,-118.282944
1759011432731,34.021752,-118.282944
1759011447740,34.021752,-118.282944
1759011462739,34.021752,-118.282944
1759011477738,34.021752,-118.282944
1759011492739,34.021752,-118.282944
1759011507731,34.021752,-118.282944
1759011522732,34.021752,-118.282944
1759011537739,34.021752,-118.282944
1759011552733,34.021752,-118.282944
1759011567738,34.021752,-118.282944
1759011582730,34.021752,-118.282944
1759011597731,34.021752,-118.282944
1759011612729,34.021752,-118.282944
1759011627730,34.021752,-118.282944
1759011642729,34.021752,-118.282944
1759011657737,34.021752,-118.282944
1759011672738,34.021752,-118.282944
1759011687728,34.021752,-118.282944
1759011702736,34.021752,-118.282944
1759011717727,34.021752,-118.282944
1759011732728,34.021752,-118.282944
1759011747729,34.021752,-118.282944
1759011762735,34.021752,-118.282944
1759011777727,34.021752,-118.282944
1759011792734,34.021752,-118.282944
1759011807727,34.021752,-118.282944
1759011822724,34.021752,-118.282944
1759011837727,34.021752,-118.282944
1759011852733,34.021752,-118.282944
1759011867726,34.021752,-118.282944
1759011882734,34.021752,-118.282944
1759011897727,34.021752,-118.282944
1759011912735,34.021752,-118.282944
1759011927726,34.021752,-118.282944
1759011954059,34.021752,-118.282944
1759011969065,34.021752,-118.282944
1759011984065,34.021752,-118.282944
1759011999057,34.021752,-118.282944
1759012014061,34.021752,-118.282944
1759012029059,34.021752,-118.282944
1759012044067,34.021752,-118.282944
1759012059059,34.021752,-118.282944
1759012074065,34.021752,-118.282944
1759012089057,34.021752,-118.282944
1759012104069,34.021752,-118.282944
1759012119067,34.021752,-118.282944
1759012134057,34.021752,-118.282944
1759012149066,34.021752,-118.282944
1759012164064,34.021752,-118.282944
1759012179067,34.021752,-118.282944
1759012194056,34.021752,-118.282944
1759012209057,34.021752,-118.282944
1759012224064,34.021752,-118.282944
1759012239057,34.021752,-118.282944
1759012254056,34.021752,-118.282944
1759012269056,34.021752,-118.282944
1759012284063,34.021752,-118.282944
1759012299064,34.021752,-118.282944
1759012314062,34.021752,-118.282944
1759012329062,34.021752,-118.282944
1759012344057,34.021752,-118.282944
1759012371422,34.021744,-118.282978
1759012386430,34.021752,-118.282944
1759012401429,34.021752,-118.282944
1759012416431,34.021752,-118.282944
1759012431523,34.021756,-118.282952
1759012446434,34.02176,-118.282953
1759012461431,34.021763,-118.282953
1759012476430,34.021764,-118.282953
1759012491435,34.021765,-118.282952
1759012506426,34.021765,-118.282952
1759012521426,34.021766,-118.282952
1759012536430,34.021766,-118.282952
1759012551429,34.021767,-118.282952
1759012566430,34.021767,-118.282952
1759012581429,34.021756,-118.282943
